Country or Area,Year,City,City type,Value
Argentina,1991,Lomas de Zamora,City proper,574330.0
Argentina,1991,Mar del Plata-Batán,City proper,512880.0
Argentina,1991,Mendoza,City proper,121620.0
Argentina,1991,Mendoza,Urban agglomeration,773113.0
Argentina,1991,Morón,City proper,643553.0
Argentina,1991,Neuquén-Plottier,City proper,167296.0
Argentina,1991,Neuquén-Plottier,Urban agglomeration,183579.0
Argentina,1991,Paraná,City proper,207041.0
Argentina,1991,Paraná,Urban agglomeration,211936.0
Argentina,1991,Posadas,City proper,201273.0
Argentina,1991,Posadas,Urban agglomeration,210755.0
Argentina,1991,Quilmes,City proper,511234.0
Argentina,1991,Resistencia,City proper,229212.0
Argentina,1991,Resistencia,Urban agglomeration,292287.0
Argentina,1991,Río Cuarto,City proper,134355.0
Argentina,1991,Río Cuarto,Urban agglomeration,138853.0
Argentina,1991,Rosario,City proper,907718.0
Argentina,1991,Rosario,Urban agglomeration,1118905.0
Argentina,1991,Salta,City proper,367550.0
Argentina,1991,Salta,Urban agglomeration,370904.0
Argentina,1991,San Fernando,City proper,141063.0
Argentina,1991,San Isidro,City proper,299023.0
Argentina,1991,San Juan,City proper,119423.0
Argentina,1991,San Juan,Urban agglomeration,352691.0
Argentina,1991,San Miguel de Tucumán,City proper,470809.0
Argentina,1991,San Miguel de Tucumán,Urban agglomeration,622324.0
Argentina,1991,San Nicolás-Villa Constitución,City proper,119302.0
Argentina,1991,San Salvador de Jujuy-Palpalá,City proper,178748.0
Argentina,1991,San Salvador de Jujuy-Palpalá,Urban agglomeration,180102.0
Argentina,1991,Santa Fé,City proper,353063.0
Argentina,1991,Santa Fé,Urban agglomeration,406388.0
Argentina,1991,Santiago del Estero-La Banda,City proper,189947.0
Argentina,1991,Santiago del Estero-La Banda,Urban agglomeration,263471.0
Argentina,1991,Vicente López,City proper,289505.0
Armenia,2019,Vanadzoz (Kirovakan),City proper,77810.0
Armenia,2019,Gyumri (Leninakan),City proper,112968.0
Armenia,2019,YEREVAN,City proper,1082949.0
Armenia,2018,Vanadzoz (Kirovakan),City proper,78848.0
Armenia,2018,Gyumri (Leninakan),City proper,113977.0
Armenia,2018,YEREVAN,City proper,1079732.0
Armenia,2017,Vanadzoz (Kirovakan),City proper,80007.0
Armenia,2017,Gyumri (Leninakan),City proper,115231.0
Armenia,2017,YEREVAN,City proper,1076716.0
Armenia,2016,Vanadzoz (Kirovakan),City proper,81500.0
Armenia,2016,Gyumri (Leninakan),City proper,116800.0
Armenia,2016,YEREVAN,City proper,1074751.0
Armenia,2015,Vanadzoz (Kirovakan),City proper,82221.0
Armenia,2015,Gyumri (Leninakan),City proper,117714.0
Armenia,2015,YEREVAN,City proper,1073660.0
Armenia,2011,Gyumri (Leninakan),City proper,121976.0
Armenia,2011,YEREVAN,City proper,1060138.0
Armenia,2009,Vanadzoz (Kirovakan),City proper,104825.0
Armenia,2009,Gyumri (Leninakan),City proper,146355.0
Armenia,2009,YEREVAN,City proper,1116648.0
Armenia,2008,Vanadzoz (Kirovakan),City proper,104886.0
Armenia,2008,Gyumri (Leninakan),City proper,146704.0
Armenia,2008,YEREVAN,City proper,1109580.0
Armenia,2007,Vanadzoz (Kirovakan),City proper,105100.0
Armenia,2007,Gyumri (Leninakan),City proper,147350.0
Armenia,2007,YEREVAN,City proper,1106383.0
Armenia,2006,Vanadzoz (Kirovakan),City proper,105300.0
Armenia,2006,Gyumri (Leninakan),City proper,148000.0
Armenia,2006,YEREVAN,City proper,1104398.0
Armenia,2004,Vanadzoz (Kirovakan),City proper,105900.0
Armenia,2004,Gyumri (Leninakan),City proper,149200.0
Armenia,2004,YEREVAN,City proper,1102427.0
Armenia,2001,Vanadzoz (Kirovakan),City proper,107394.0
Armenia,2001,Gyumri (Leninakan),City proper,150917.0
Armenia,2001,YEREVAN,City proper,1103488.0
Aruba,2010,ORANJESTAD,City proper,28295.0
Aruba,1991,ORANJESTAD,City proper,20045.0
Australia,2019,Adelaide,City proper,25456.0
Australia,2019,Adelaide,Urban agglomeration,1340794.0
Australia,2019,Ballarat,City proper,109505.0
Australia,2019,Bendigo,City proper,118093.0
Australia,2019,Brisbane,City proper,1253982.0
Australia,2019,Brisbane,Urban agglomeration,2430180.0
Australia,2019,Cairns,City proper,166862.0
Australia,2019,CANBERRA,City proper,426704.0
Australia,2019,CANBERRA,Urban agglomeration,426704.0
Australia,2019,Canberra-Queanbeyan,City proper,487804.0
Australia,2019,Central Coast,City proper,343968.0
Australia,2019,Darwin,City proper,82886.0
Australia,2019,Darwin,Urban agglomeration,133331.0
Australia,2019,Geelong,City proper,258934.0
Australia,2019,Geelong,Urban agglomeration,275794.0
Australia,2019,Gold Coast,City proper,620518.0
Australia,2019,Gold Coast,Urban agglomeration,636117.0
Australia,2019,Gold Coast-Tweed Heads,City proper,717519.0
Australia,2019,Greater Adelaide,Urban agglomeration,1359760.0
Australia,2019,Greater Brisbane,Urban agglomeration,2514184.0
Australia,2019,Greater Darwin,Urban agglomeration,147255.0
Australia,2019,Greater Hobart,Urban agglomeration,236136.0
Australia,2019,Greater Melbourne,Urban agglomeration,5078193.0
Australia,2019,Greater Perth,Urban agglomeration,2085973.0
Australia,2019,Greater Sydney,Urban agglomeration,5312163.0
Australia,2019,Hobart,City proper,54649.0
Australia,2019,Hobart,Urban agglomeration,216682.0
Australia,2019,Melbourne,City proper,178955.0
Australia,2019,Melbourne,Urban agglomeration,4893870.0
Australia,2019,Newcastle,City proper,165571.0
Australia,2019,Newcastle,Urban agglomeration,175064.0
Australia,2019,Newcastle-Maitland,City proper,250737.0
